--- Verification Started ---
Using device: mps
Epoch 1 | Loss: 0.2925 | Acc: 95.38% | LLC: 64.00
Epoch 2 | Loss: 0.1404 | Acc: 96.39% | LLC: 64.00
Epoch 3 | Loss: 0.1006 | Acc: 97.02% | LLC: 55.73
Epoch 4 | Loss: 0.0789 | Acc: 97.39% | LLC: 41.38
Epoch 5 | Loss: 0.0664 | Acc: 97.18% | LLC: 55.68
Epoch 6 | Loss: 0.0561 | Acc: 97.29% | LLC: 35.55
Epoch 7 | Loss: 0.0481 | Acc: 97.59% | LLC: 26.07
Epoch 8 | Loss: 0.0417 | Acc: 97.30% | LLC: 53.83
Epoch 9 | Loss: 0.0379 | Acc: 97.55% | LLC: 21.95
Epoch 10 | Loss: 0.0328 | Acc: 97.59% | LLC: 34.11
Epoch 11 | Loss: 0.0304 | Acc: 97.31% | LLC: 17.25
Epoch 12 | Loss: 0.0262 | Acc: 97.48% | LLC: 6.77
Epoch 13 | Loss: 0.0240 | Acc: 97.45% | LLC: 24.11
Epoch 14 | Loss: 0.0228 | Acc: 97.52% | LLC: 21.49
Epoch 15 | Loss: 0.0199 | Acc: 97.08% | LLC: 37.85
Epoch 16 | Loss: 0.0197 | Acc: 97.58% | LLC: 19.80
Epoch 17 | Loss: 0.0165 | Acc: 97.43% | LLC: 19.21
Epoch 18 | Loss: 0.0165 | Acc: 97.27% | LLC: 11.55
Epoch 19 | Loss: 0.0158 | Acc: 97.86% | LLC: 4.99
Epoch 20 | Loss: 0.0123 | Acc: 97.63% | LLC: 6.03
Model saved as mnist_model.pt
