--- Verification Started ---
Using device: mps
Epoch 1 | Loss: 0.3444 | Acc: 94.25% | LLC: 32.00
Epoch 2 | Loss: 0.1783 | Acc: 95.59% | LLC: 32.00
Epoch 3 | Loss: 0.1394 | Acc: 95.86% | LLC: 32.00
Epoch 4 | Loss: 0.1178 | Acc: 96.29% | LLC: 32.00
Epoch 5 | Loss: 0.1033 | Acc: 96.65% | LLC: 32.00
Epoch 6 | Loss: 0.0932 | Acc: 96.72% | LLC: 32.00
Epoch 7 | Loss: 0.0854 | Acc: 96.71% | LLC: 32.00
Epoch 8 | Loss: 0.0772 | Acc: 96.83% | LLC: 32.00
Epoch 9 | Loss: 0.0723 | Acc: 96.91% | LLC: 32.00
Epoch 10 | Loss: 0.0673 | Acc: 96.95% | LLC: 32.00
Epoch 11 | Loss: 0.0627 | Acc: 96.97% | LLC: 32.00
Epoch 12 | Loss: 0.0591 | Acc: 96.77% | LLC: 32.00
Epoch 13 | Loss: 0.0554 | Acc: 96.77% | LLC: 31.54
Epoch 14 | Loss: 0.0532 | Acc: 96.86% | LLC: 32.00
Epoch 15 | Loss: 0.0497 | Acc: 96.99% | LLC: 32.00
Epoch 16 | Loss: 0.0479 | Acc: 97.01% | LLC: 30.86
Epoch 17 | Loss: 0.0439 | Acc: 97.07% | LLC: 32.00
Epoch 18 | Loss: 0.0430 | Acc: 96.79% | LLC: 32.00
Epoch 19 | Loss: 0.0407 | Acc: 96.93% | LLC: 27.38
Epoch 20 | Loss: 0.0387 | Acc: 97.11% | LLC: 29.22
Model saved as mnist_model.pt
